id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16780923,"Downtown, FQ, Convention Area Condo with Balcony",74907357,Annie,,Central Business District,29.95048,-90.0679,Entire home/apt,75,2,133,2020-03-20,3.31,4,270
16789000,Huge Mardi Gras Parade Home (2120),66925019,Bianka,,Central City,29.93658,-90.08197,Entire home/apt,280,2,99,2020-03-15,2.46,12,357
16791024,Marigny Creole Cottage - 5 bed/4 bath,2019341,Historic Getaways,,St. Roch,29.97019,-90.05531,Entire home/apt,399,1,74,2020-03-16,1.98,20,210
16793755,"1850s Townhouse, 3rd Floor Walk-Up",10127307,Lindsey,,Central City,29.93956,-90.07092,Entire home/apt,120,2,254,2020-06-07,6.35,2,145
16811964,Private Room in newly renovated home #18STR-18549,16284891,Erica,,Gentilly Terrace,29.99503,-90.05382,Private room,45,1,59,2020-03-09,3.06,2,159
16812394,Cozy Shotgun Style Home  19STR-23780,91745726,Amanda,,Tulane - Gravier,29.96302,-90.08869,Entire home/apt,200,2,53,2020-02-27,1.34,1,0
16827320,Explore New Orleans from an Artist's House in Milan,44368667,Kristen,,Milan,29.93116,-90.09472,Entire home/apt,165,1,140,2020-02-16,3.47,1,257
16837458,Uptown New Orleans - Modern Home in great location,31737961,Michael,,Broadmoor,29.94193,-90.10433,Entire home/apt,300,2,211,2020-05-25,5.11,2,166
16839507,Beautiful Private Suite Blocks from French Quarter,4144466,Caitlin,,Treme - Lafitte,29.96835,-90.07001,Private room,85,1,138,2020-03-11,3.55,2,84
16840260,Bask in the Tranquil Courtyard of Bywater Guest House,7829096,Stephanie,,Bywater,29.96204,-90.03481,Entire home/apt,85,2,222,2020-05-23,5.61,1,97
16841677,Min. to Fr. Quarter Sleep 12 not STR or 6 as STR,92062312,Charlotte,,East Riverside,29.91805,-90.10102,Entire home/apt,450,30,52,2020-03-08,1.34,2,362
16843485,New  Orleans Style!  Great Location 2BR 2BA,31178083,Andy,,Central City,29.94352,-90.07634,Entire home/apt,140,2,150,2020-03-11,3.73,3,301
16844319,Bohemian Chic in a 19th-century Lower Garden District Home,37614659,Owen,,Lower Garden District,29.93425,-90.07173,Entire home/apt,137,2,180,2020-03-16,4.48,7,276
16844522,Historic Creole Cottage/walk to Jazzfest!!!,76163287,Pam,,Bayou St. John,29.97652,-90.08932,Entire home/apt,225,30,31,2019-10-28,0.77,1,173
16844584,Best location! On parade route! Canal St studio,99430572,Canal Street Rentals,,Central Business District,29.95281,-90.06805,Entire home/apt,99,3,94,2020-03-15,2.28,34,22
16854476,Fountainblue Manor Spacious Uptown Home,112258444,Fountainblue,,Marlyville - Fontainbleau,29.95513,-90.10615,Entire home/apt,250,2,79,2020-03-15,1.92,3,111
16855481,Bourbon Street Treasure,8118306,Eric,,French Quarter,29.95744,-90.06651,Entire home/apt,375,4,29,2020-03-17,0.72,22,349
16856148,Bourbon Street Jewel,8118306,Eric,,French Quarter,29.9565,-90.06693,Entire home/apt,350,4,16,2019-12-10,0.40,22,0
16869978,Artist's mural filled shotgun home,5601521,Crista,,Lower Garden District,29.92528,-90.07699,Entire home/apt,152,3,115,2020-03-10,2.81,1,93
16873673,Sofia's Speakeasy (Prime Mardi Gras Location!),4763702,Michael,,Central City,29.93811,-90.08133,Entire home/apt,300,30,87,2020-02-28,2.12,3,361
16883174,"Private Uptown Apartment, Irish Channel",112583634,Brian,,Irish Channel,29.92687,-90.07874,Entire home/apt,75,3,163,2020-05-29,3.98,1,195
16894055,Uptown! Magazine/Parades 1.5 blocks. Driveway!,4871861,Joan,,East Riverside,29.91874,-90.10016,Entire home/apt,165,3,29,2019-12-01,0.73,2,0
16910208,Updated Uptown Shotgun near Magazine,12912473,Mehmet,,Irish Channel,29.91776,-90.08891,Entire home/apt,96,1,272,2020-06-01,6.80,1,2
16916029,Beautiful Treme Home,105138283,Ryan,,Treme - Lafitte,29.97,-90.07487,Entire home/apt,173,30,43,2020-02-24,1.07,2,179
16917176,Beautiful Shotgun Home In Charming Uptown,41671447,Gary,,West Riverside,29.91899,-90.11765,Entire home/apt,285,30,15,2019-02-24,0.38,1,365
16917696,Beautiful Historic Treme Home,105138283,Ryan,,Treme - Lafitte,29.97167,-90.07558,Entire home/apt,171,30,55,2020-02-27,1.37,2,179
16927774,The Palms,113083344,Emelie And Hunter,,Gentilly Terrace,30.0002,-90.05607,Entire home/apt,83,2,41,2019-10-28,1.03,1,0
16928130,The Perfect Location! 2br Modern Loft Downtown,112910785,Marigny,,Central Business District,29.95025,-90.07045,Entire home/apt,180,3,117,2020-03-18,2.88,37,326
16928826,Heart of the Bywater (Side A),5576321,Brandon & Jessica,,Bywater,29.96252,-90.04586,Entire home/apt,208,30,83,2020-03-15,2.06,2,160
16930057,Clean & Delightful,20540846,Reuel,,Treme - Lafitte,29.96478,-90.07179,Entire home/apt,166,2,184,2020-03-06,4.60,1,0
16931950,Minutes from JAZZ FEST!,20360927,Trish,,Bayou St. John,29.97265,-90.08625,Entire home/apt,375,30,6,2019-04-28,0.16,1,0
16933067,Mid-City Gem Close to Everywhere Great in NOLA!,19006896,Kenyattah,,Mid-City,29.96726,-90.10238,Entire home/apt,133,30,79,2020-02-26,1.96,1,266
16941571,High-End Historic Home near FQ | Pool,50765542,Francis,,Treme - Lafitte,29.96546,-90.06545,Entire home/apt,1710,30,85,2020-05-12,2.13,4,275
16948006,Classic Uptown Living,31111321,Beverly,,Central City,29.94067,-90.08364,Private room,52,3,93,2020-03-17,2.34,5,354
16960571,Uptown  min. to French Quarter sleep 12 Not STR,92062312,Charlotte,,West Riverside,29.91753,-90.10123,Entire home/apt,450,30,9,2019-07-08,0.22,2,362
16964743,Special K's Private Gentilly Abode!,2323449,Karen,,Pontchartrain Park,30.02001,-90.04557,Entire home/apt,120,2,47,2020-03-13,1.22,1,86
16971671,Nice 1-bdr apartment off Napoleon,11580620,Dubie,,Broadmoor,29.94472,-90.10515,Entire home/apt,100,2,23,2020-03-14,0.57,1,47
