id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17556135,Private One Bedroom Apartment - UT & Near Downtown,119148223,Alec,,78712,30.28686,-97.72756,Entire home/apt,175,3,1,2017-03-19,0.03,1,0
17556210,Basecamp- SXsome rest,9645065,Michael,,78702,30.26712,-97.70536,Private room,120,1,1,2019-03-17,0.07,1,0
17557861,Riverview Rainey,28470640,Pat,,78701,30.2568,-97.74055,Entire home/apt,2050,3,0,,,1,363
17557972,Eclectic SXSW Relaxing Bungalow,39663481,David,,78704,30.23326,-97.78612,Entire home/apt,344,1,55,2020-03-08,1.51,3,83
17559799,"Luxury, Beauty And Convenience In One Place",119191578,Marco,,78730,30.35773,-97.79711,Entire home/apt,250,60,13,2018-08-21,0.34,1,0
17559954,"1b next to Townlake, 2mi from DT,  SXSW/F1/ACL",61729692,Johnny,,78741,30.24421,-97.72467,Private room,63,1,14,2017-07-05,0.36,2,0
17566215,"Quiet, Private Room For 9-5 Employed Guest",51809476,Dao,,78757,30.35484,-97.71674,Private room,25,28,2,2019-10-05,0.23,6,58
17567587,Charming Haven with Garden in South Lamar,5122806,Krystal,,78704,30.23644,-97.77541,Entire home/apt,419,2,10,2019-04-07,0.27,1,56
17568804,Cozy Retro Oasis,7943197,Sarah,,78752,30.32305,-97.71786,Entire home/apt,89,3,12,2019-11-03,0.32,1,150
17569863,60's Modern Artist Residence,16996286,Sarah,,78754,30.33696,-97.6553,Entire home/apt,200,3,0,,,1,0
17571974,SoCo House for SXSW,119324649,Peter,,78704,30.24756,-97.74849,Entire home/apt,1200,1,0,,,1,0
17572567,The best place to rest in ATX,67124039,Mariela,,78758,30.35911,-97.71193,Private room,95,1,18,2017-11-29,0.47,1,0
17573194,Charming Bungalow + Easy Access to SXSW & Downtown,44884031,Dee,,78752,30.34005,-97.71501,Entire home/apt,200,3,4,2018-03-19,0.10,1,0
17573927,"Cute, Convenient 2B Near SXSW/Downtown",41666638,Caitlyn,,78704,30.24182,-97.78063,Entire home/apt,150,1,3,2017-03-19,0.08,1,0
17574090,Nature lover's paradise. With an amazing view.,3261952,Rox,,78734,30.36964,-97.98635,Private room,38,28,0,,,1,365
17574920,Luxurious Austin Hill Country House on 2 Acres Near the Lake,51779416,Jon-Marc & Gigi,,78730,30.35436,-97.84678,Entire home/apt,149,2,164,2020-04-29,4.23,1,148
17575563,Cool Off in Barton Springs Pool Steps from Zilker & ACL,4791412,Russell,,78704,30.26095,-97.77277,Private room,95,2,115,2020-02-29,2.97,1,363
17576092,Waterfront Lake Travis Mansion,39707333,Angel,,78734,30.43169,-97.92255,Entire home/apt,2500,3,15,2019-07-28,0.40,1,329
17584105,"SXSW master suite SLEEPS 6, 3mi from downtown",119448476,Luke,,78746,30.26347,-97.79904,Private room,199,3,2,2018-01-15,0.05,1,0
17586259,The greenhole,881094,Kimberly,,78705,30.29121,-97.74961,Entire home/apt,100,1,148,2020-03-14,3.83,1,146
17586715,Mid-century Modern Condo - CENTRAL,49370344,Vicky,,78705,30.29169,-97.72881,Entire home/apt,175,2,24,2018-07-15,0.62,1,0
17586717,3 blocks from 6th street,49725045,Angelina,,78702,30.26237,-97.72956,Entire home/apt,250,2,85,2020-03-08,2.20,1,335
17589999,Deep Eddy Cottage - Walk to ACL and SXSW,60013204,Patrick,,78703,30.28416,-97.77131,Entire home/apt,150,2,18,2019-10-14,0.48,2,0
17590487,Visiting The University of Texas at Austin?,119513428,Michael,,78705,30.28954,-97.75015,Entire home/apt,80,2,99,2020-03-08,2.63,1,53
17590753,Downtown apartment in heart of Austin,6724564,Chiana,,78703,30.27333,-97.75343,Entire home/apt,250,2,3,2019-09-08,0.09,1,180
17591047,Private bedroom/bathroom on the eastside!,80947964,Cam,,78702,30.27611,-97.70725,Private room,100,1,1,2017-03-14,0.03,1,0
17592822,Perfect for families/business!  CLOSE TO IT ALL!,4922727,Kyle,,78741,30.24178,-97.73564,Entire home/apt,199,2,1,2017-07-06,0.03,3,39
17592920,Clean and Cozy condo in Downtown Austin,119541848,Loana Magaly,,78705,30.29328,-97.74446,Private room,75,2,0,,,1,0
17593029,All Access Edge of Downtown Apartment,21340932,O. V. G.,,78704,30.25367,-97.74792,Entire home/apt,150,1,140,2020-03-15,3.62,3,19
